Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Keegan Meth "," 						  13.25 					"," 						  57.92 					","11.57732"
"Taurai Muzarabani "," 						  3.00 					"," 						  30.00 					","2.37"
"Brian Vitori "," 						  7.81 					"," 						  95.55 					","7.7057365"
"Richmond Mutumbami "," 						  20.44 					"," 						  71.04 					","18.6641728"
"Tendai Chisoro "," 						  19.00 					"," 						  62.44 					","16.85908"
"Tafadzwa Kamungozi "," 						  5.40 					"," 						  49.09 					","4.575258"
"Timycen Maruma "," 						  9.81 					"," 						  51.30 					","8.376759"
"Cephas Zhuwao "," 						  16.50 					"," 						  126.92 					","17.83254"
"Solomon Mire "," 						  22.45 					"," 						  83.85 					","21.3622975"
"Regis Chakabva "," 						  15.13 					"," 						  55.84 					","13.1255776"
"Sikandar Raza "," 						  34.50 					"," 						  81.37 					","32.571795"
"Kyle Jarvis "," 						  5.82 					"," 						  50.00 					","4.947"
"Peter Moor "," 						  18.53 					"," 						  63.92 					","16.5243128"
"Tinotenda Mutombodzi "," 						  12.44 					"," 						  70.00 					","11.3204"
"Shingi Masakadza "," 						  21.25 					"," 						  96.04 					","20.99755"
"Natsai M'shangwe "," 						  7.60 					"," 						  84.44 					","7.245232"
"Donald Tiripano "," 						  10.50 					"," 						  53.16 					","9.02454"
"Tendai Chatara "," 						  7.04 					"," 						  52.29 					","6.0323648"
"Brian Chari "," 						  16.00 					"," 						  44.75 					","13.348"
"Neville Madziva "," 						  7.44 					"," 						  48.55 					","6.291636"
"Ryan Burl "," 						  15.44 					"," 						  62.05 					","13.682156"
"Luke Jongwe "," 						  14.75 					"," 						  77.88 					","13.77119"
"Kevin Arnott "," 						  23.80 					"," 						  48.47 					","20.120758"
"Andy Blignaut "," 						  18.96 					"," 						  106.28 					","19.3172064"
"David Brain "," 						  8.35 					"," 						  68.42 					","7.558921"
"Eddo Brandes "," 						  13.03 					"," 						  90.17 					","12.6457453"
"Gary Brent "," 						  12.00 					"," 						  58.45 					","10.5042"
"Gavin Briant "," 						  13.00 					"," 						  56.52 					","11.30428"
"Robin Brown "," 						  15.71 					"," 						  32.93 					","12.5489909"
"Glen Bruk-Jackson "," 						  12.00 					"," 						  36.36 					","9.70896"
"Mark Burmester "," 						  18.16 					"," 						  52.65 					","15.580372"
"Iain Butchart "," 						  18.00 					"," 						  63.79 					","16.04466"
"Alistair Campbell "," 						  30.50 					"," 						  66.18 					","27.40547"
"Stuart Carlisle "," 						  27.67 					"," 						  63.35 					","24.6276835"
"Gary Crocker "," 						  24.50 					"," 						  93.33 					","24.009755"
"Kevin Curran "," 						  26.09 					"," 						  66.74 					","23.4867398"
"Charles Coventry "," 						  24.44 					"," 						  88.68 					","23.6100176"
"Elton Chigumbura "," 						  25.47 					"," 						  80.84 					","24.0059844"
"Graeme Cremer "," 						  14.58 					"," 						  62.20 					","12.926628"
"Michael Chinouya "," 						  6.00 					"," 						  75.00 					","5.55"
"Chamu Chibhabha "," 						  23.93 					"," 						  63.38 					","21.3010502"
"Sean Davies "," 						  16.75 					"," 						  38.72 					","13.67068"
"Mark Dekker "," 						  18.95 					"," 						  47.49 					","15.9648065"
"Kevin Duers "," 						  7.00 					"," 						  35.00 					","5.635"
"Keith Dabengwa "," 						  19.03 					"," 						  60.39 					","16.7686651"
"Terry Duffin "," 						  23.73 					"," 						  54.98 					","20.5250262"
"Craig Evans "," 						  18.19 					"," 						  75.94 					","16.8770458"
"Craig Ervine "," 						  32.45 					"," 						  75.21 					","30.0366935"
"Sean Ervine "," 						  25.85 					"," 						  85.53 					","24.7278515"
"Dion Ebrahim "," 						  20.61 					"," 						  56.81 					","17.9395623"
"Gavin Ewing "," 						  13.85 					"," 						  70.80 					","12.63674"
"Duncan Fletcher "," 						  47.75 					"," 						  66.08 					","42.89096"
"Andy Flower "," 						  35.34 					"," 						  74.59 					","32.6460318"
"Grant Flower "," 						  33.52 					"," 						  67.58 					","30.2598448"
"Travis Friend "," 						  16.11 					"," 						  75.69 					","14.9350977"
