Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Ravindra Jadeja "," 						  9.66 					"," 						  93.54 					","9.347982"
"Ishant Sharma "," 						  8.00 					"," 						  88.88 					","7.5552"
"Murali Vijay "," 						  18.77 					"," 						  109.74 					","19.684099"
"Virat Kohli "," 						  50.84 					"," 						  137.32 					","60.326744"
"Ajit Agarkar "," 						  7.50 					"," 						  136.36 					","8.8635"
"Ravichandran Ashwin "," 						  30.75 					"," 						  106.95 					","31.8185625"
"S Badrinath "," 						  43.00 					"," 						  116.21 					","46.48515"
"Stuart Binny "," 						  17.50 					"," 						  120.68 					","19.3095"
"Ajinkya Rahane "," 						  20.83 					"," 						  113.29 					","22.2141535"
"MS Dhoni "," 						  37.02 					"," 						  126.55 					","41.934405"
"Rahul Dravid "," 						  31.00 					"," 						  147.61 					","38.37955"
"Shikhar Dhawan "," 						  26.78 					"," 						  128.48 					","30.593472"
"Gautam Gambhir "," 						  27.41 					"," 						  119.02 					","30.016691"
"Harbhajan Singh "," 						  13.50 					"," 						  124.13 					","15.128775"
"Dinesh Karthik "," 						  33.62 					"," 						  149.44 					","41.930864"
"Zaheer Khan "," 						  6.50 					"," 						  130.00 					","7.475"
"Praveen Kumar "," 						  2.33 					"," 						  43.75 					","1.6746875"
"Ashish Nehra "," 						  5.60 					"," 						  71.79 					","4.81012"
"Naman Ojha "," 						  6.00 					"," 						  44.44 					","4.3332"
"Parthiv Patel "," 						  18.00 					"," 						  112.50 					","19.125"
"Bhuvneshwar Kumar "," 						  7.00 					"," 						  84.00 					","6.44"
"Irfan Pathan "," 						  24.57 					"," 						  119.44 					","26.958204"
"Munaf Patel "," 						  0.00 					"," 						  0.00 					","0.0"
"Piyush Chawla "," 						  0.00 					"," 						  0.00 					","0.0"
"Suresh Raina "," 						  28.82 					"," 						  133.95 					","33.712195"
"Rohit Sharma "," 						  30.86 					"," 						  135.77 					","36.379311"
"Sreesanth "," 						  20.00 					"," 						  142.85 					","24.285"
"Virender Sehwag "," 						  21.88 					"," 						  145.38 					","26.844572"
"Sachin Tendulkar "," 						  10.00 					"," 						  83.33 					","9.1665"
"Yuvraj Singh "," 						  28.02 					"," 						  136.38 					","33.116838"
"Lokesh Rahul "," 						  45.45 					"," 						  146.62 					","56.044395"
"Kuldeep Yadav "," 						  16.00 					"," 						  84.21 					","14.7368"
"Hardik Pandya "," 						  11.75 					"," 						  131.46 					","13.598275"
"Jasprit Bumrah "," 						  4.00 					"," 						  61.53 					","3.2306"
