Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Ravi Bopara "," 						  290.00 					"," 						  4.00 					"," 						  434.0 					","454.72"
"Stuart Broad "," 						  29.31 					"," 						  2.97 					"," 						  59.0 					","22.466115"
"Andy Caddick "," 						  29.91 					"," 						  3.09 					"," 						  57.9 					","23.039673"
"David Capel "," 						  50.66 					"," 						  3.19 					"," 						  95.2 					","43.055934"
"Brian Close "," 						  29.55 					"," 						  2.63 					"," 						  67.3 					","22.638255"
"Paul Collingwood "," 						  59.88 					"," 						  3.20 					"," 						  112.0 					","52.93392"
"Nick Cook "," 						  32.48 					"," 						  2.42 					"," 						  80.2 					","25.379872"
"Geoff Cope "," 						  34.62 					"," 						  1.92 					"," 						  108.0 					","28.11144"
"Dominic Cork "," 						  29.81 					"," 						  3.05 					"," 						  58.6 					","22.944757"
"Norman Cowans "," 						  39.27 					"," 						  3.48 					"," 						  67.6 					","31.777284"
"Chris Cowdrey "," 						  77.25 					"," 						  4.64 					"," 						  99.7 					","71.95065"
"Robert Croft "," 						  37.24 					"," 						  2.37 					"," 						  94.2 					","30.048956"
"Rikki Clarke "," 						  15.00 					"," 						  2.06 					"," 						  43.5 					","10.35"
"Alastair Cook "," 						  7.00 					"," 						  2.33 					"," 						  18.0 					","4.5675"
"Phil DeFreitas "," 						  33.57 					"," 						  2.86 					"," 						  70.2 					","26.298738"
"Graham Dilley "," 						  29.76 					"," 						  3.00 					"," 						  59.3 					","22.873536"
"Basil D'Oliveira "," 						  39.55 					"," 						  1.95 					"," 						  121.4 					","33.233865"
"Mark Ealham "," 						  28.70 					"," 						  2.76 					"," 						  62.3 					","21.88662"
"Phil Edmonds "," 						  34.18 					"," 						  2.13 					"," 						  96.2 					","27.306402"
"Richard Ellison "," 						  29.94 					"," 						  2.77 					"," 						  64.6 					","22.984938"
"John Emburey "," 						  38.40 					"," 						  2.20 					"," 						  104.7 					","31.46496"
"Keith Fletcher "," 						  96.50 					"," 						  4.06 					"," 						  142.5 					","95.342"
"Andrew Flintoff "," 						  32.78 					"," 						  2.97 					"," 						  66.1 					","25.591346"
"Neil Foster "," 						  32.85 					"," 						  2.77 					"," 						  71.1 					","25.645995"
