Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"David Warner "," 						  67.25 					"," 						  4.71 					"," 						  85.5 					","60.962125"
"John Hastings "," 						  153.00 					"," 						  3.92 					"," 						  234.0 					","178.092"
"Steven Smith "," 						  54.88 					"," 						  4.18 					"," 						  78.7 					","47.548032"
"James Faulkner "," 						  16.33 					"," 						  3.54 					"," 						  27.6 					","11.956826"
"Nathan Lyon "," 						  31.76 					"," 						  3.06 					"," 						  62.1 					","24.683872"
"Mitchell Marsh "," 						  39.93 					"," 						  3.50 					"," 						  68.3 					","32.407188"
"James Pattinson "," 						  26.15 					"," 						  3.35 					"," 						  46.8 					","19.902765"
"Josh Hazlewood "," 						  26.00 					"," 						  2.81 					"," 						  55.4 					","19.5338"
"Mitchell Starc "," 						  28.17 					"," 						  3.42 					"," 						  49.3 					","21.679632"
"Glenn Maxwell "," 						  42.62 					"," 						  4.42 					"," 						  57.7 					","35.647368"
"Terry Alderman "," 						  27.15 					"," 						  2.72 					"," 						  59.8 					","20.51454"
"Jo Angel "," 						  46.30 					"," 						  3.71 					"," 						  74.8 					","38.66513"
"Graeme Beard "," 						  109.00 					"," 						  2.52 					"," 						  259.0 					","124.696"
"Murray Bennett "," 						  54.16 					"," 						  2.93 					"," 						  110.8 					","47.016296"
"Michael Bevan "," 						  24.24 					"," 						  3.28 					"," 						  44.3 					","18.243024"
"Andy Bichel "," 						  32.24 					"," 						  3.36 					"," 						  57.5 					","25.24392"
"Greg Blewett "," 						  51.42 					"," 						  3.00 					"," 						  102.5 					","43.9641"
"Allan Border "," 						  39.10 					"," 						  2.28 					"," 						  102.7 					","32.03854"
"Nathan Bracken "," 						  42.08 					"," 						  2.72 					"," 						  92.5 					","34.54768"
"Ray Bright "," 						  41.13 					"," 						  2.36 					"," 						  104.5 					","34.01451"
"Joe Mennie "," 						  85.00 					"," 						  3.03 					"," 						  168.0 					","83.9375"
"Doug Bollinger "," 						  25.92 					"," 						  3.23 					"," 						  48.0 					","19.6344"
"Ian Callen "," 						  31.83 					"," 						  2.60 					"," 						  73.3 					","24.719178"
"Greg Campbell "," 						  38.69 					"," 						  3.17 					"," 						  73.1 					","31.133843"
