Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Kemar Roach "," 						  29.42 					"," 						  3.22 					"," 						  54.7 					","22.665168"
"Sunil Narine "," 						  40.52 					"," 						  3.09 					"," 						  78.5 					","32.88198"
"Clayton Lambert "," 						  5.00 					"," 						  3.00 					"," 						  10.0 					","3.35"
"Veerasammy Permaul "," 						  43.77 					"," 						  3.44 					"," 						  76.1 					","36.075234"
"Andre Russell "," 						  104.00 					"," 						  4.52 					"," 						  138.0 					","104.208"
"Devendra Bishoo "," 						  36.01 					"," 						  3.18 					"," 						  67.7 					","28.606344"
"Kraigg Brathwaite "," 						  59.35 					"," 						  3.30 					"," 						  107.8 					","52.26361"
"Jason Holder "," 						  38.52 					"," 						  2.58 					"," 						  89.2 					","31.101048"
"Roston Chase "," 						  50.16 					"," 						  3.41 					"," 						  88.1 					","42.470472"
"Jermaine Blackwood "," 						  97.00 					"," 						  3.59 					"," 						  162.0 					","97.3395"
"Shannon Gabriel "," 						  34.27 					"," 						  3.33 					"," 						  61.7 					","27.069873"
"Carlos Brathwaite "," 						  242.00 					"," 						  3.55 					"," 						  408.0 					","361.427"
"Sheldon Cottrell "," 						  98.00 					"," 						  4.26 					"," 						  138.0 					","96.922"
"Jimmy Adams "," 						  49.48 					"," 						  2.80 					"," 						  105.6 					","42.117376"
"Sir Curtly Ambrose "," 						  20.99 					"," 						  2.30 					"," 						  54.5 					","15.19676"
"Keith Arthurton "," 						  183.00 					"," 						  2.32 					"," 						  473.0 					","285.846"
"Eldine Baptiste "," 						  35.18 					"," 						  2.48 					"," 						  85.1 					","27.939956"
"Kenny Benjamin "," 						  30.27 					"," 						  3.25 					"," 						  55.7 					","23.425953"
"Winston Benjamin "," 						  27.01 					"," 						  2.67 					"," 						  60.5 					","20.379045"
"Ian Bishop "," 						  24.27 					"," 						  2.78 					"," 						  52.2 					","18.042318"
"Marlon Black "," 						  49.75 					"," 						  3.75 					"," 						  79.5 					","42.113375"
"Keith Boyce "," 						  30.01 					"," 						  3.08 					"," 						  58.3 					","23.125706"
"Ian Bradshaw "," 						  60.00 					"," 						  3.17 					"," 						  113.4 					","53.118"
"Sulieman Benn "," 						  39.10 					"," 						  2.78 					"," 						  84.1 					","31.56152"
"Omari Banks "," 						  48.82 					"," 						  3.41 					"," 						  85.7 					","41.101558"
"Lionel Baker "," 						  79.00 					"," 						  3.59 					"," 						  132.0 					","74.5365"
"Tino Best "," 						  40.19 					"," 						  3.69 					"," 						  65.1 					","32.742793"
"Dwayne Bravo "," 						  39.83 					"," 						  3.17 					"," 						  75.1 					","32.210521"
"Shivnarine Chanderpaul "," 						  98.11 					"," 						  3.04 					"," 						  193.3 					","101.897046"
"Sylvester Clarke "," 						  27.85 					"," 						  2.83 					"," 						  58.9 					","21.146505"
"Pedro Collins "," 						  34.63 					"," 						  3.16 					"," 						  65.6 					","27.329996"
"Corey Collymore "," 						  32.30 					"," 						  2.84 					"," 						  68.1 					","25.13586"
"Colin Croft "," 						  23.30 					"," 						  2.83 					"," 						  49.3 					","17.24433"
"Cameron Cuffy "," 						  33.83 					"," 						  2.59 					"," 						  78.2 					","26.586997"
