Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Todd Astle "," 						  37.00 					"," 						  2.89 					"," 						  76.7 					","29.5223"
"Martin Guptill "," 						  37.25 					"," 						  4.17 					"," 						  53.5 					","30.377375"
"Colin Munro "," 						  20.00 					"," 						  2.22 					"," 						  54.0 					","14.38"
"Tim Southee "," 						  31.23 					"," 						  3.05 					"," 						  61.3 					","24.206373"
"Corey Anderson "," 						  41.18 					"," 						  3.03 					"," 						  81.3 					","33.524638"
"Kane Williamson "," 						  38.96 					"," 						  3.32 					"," 						  70.2 					","31.417344"
"Trent Boult "," 						  27.80 					"," 						  2.97 					"," 						  56.0 					","21.1419"
"James Neesham "," 						  48.21 					"," 						  3.76 					"," 						  76.8 					","40.573536"
"Geoff Allott "," 						  58.47 					"," 						  3.29 					"," 						  106.4 					","51.295731"
"Nathan Astle "," 						  42.01 					"," 						  2.26 					"," 						  111.5 					","35.12036"
"Andre Adams "," 						  17.50 					"," 						  3.31 					"," 						  31.6 					","12.75225"
"Doug Bracewell "," 						  38.83 					"," 						  3.36 					"," 						  69.2 					","31.312512"
"Stephen Boock "," 						  34.64 					"," 						  2.33 					"," 						  89.1 					","27.528408"
"Brendon Bracewell "," 						  41.78 					"," 						  3.38 					"," 						  74.0 					","34.13426"
"John Bracewell "," 						  35.81 					"," 						  2.60 					"," 						  82.3 					","28.454626"
"Grant Bradburn "," 						  76.66 					"," 						  3.18 					"," 						  144.5 					","72.67368"
"Vaughan Brown "," 						  176.00 					"," 						  3.08 					"," 						  342.0 					","235.488"
"Mark Burgess "," 						  35.33 					"," 						  2.55 					"," 						  83.0 					","28.034355"
"Shane Bond "," 						  22.09 					"," 						  3.41 					"," 						  38.7 					","16.521111"
"Ian Butler "," 						  36.83 					"," 						  3.87 					"," 						  57.0 					","29.740225"
"Lance Cairns "," 						  32.92 					"," 						  2.41 					"," 						  81.7 					","25.805988"
"Chris Cairns "," 						  29.40 					"," 						  3.28 					"," 						  53.6 					","22.67328"
"Ewen Chatfield "," 						  32.17 					"," 						  2.29 					"," 						  84.2 					","25.185893"
"Richard Collinge "," 						  29.25 					"," 						  2.64 					"," 						  66.2 					","22.3587"
"Jeremy Coney "," 						  35.77 					"," 						  2.04 					"," 						  105.0 					","29.04524"
"Bevan Congdon "," 						  36.50 					"," 						  2.29 					"," 						  95.2 					","29.37885"
"Martin Crowe "," 						  48.28 					"," 						  2.94 					"," 						  98.3 					","40.729008"
"Heath Davis "," 						  29.35 					"," 						  2.96 					"," 						  59.4 					","22.50558"
"Richard de Groen "," 						  45.90 					"," 						  2.85 					"," 						  96.3 					","38.33109"
"Simon Doull "," 						  29.30 					"," 						  2.84 					"," 						  61.7 					","22.42622"
"Chris Drum "," 						  30.12 					"," 						  3.58 					"," 						  50.3 					","23.481552"
"James Franklin "," 						  33.97 					"," 						  3.50 					"," 						  58.1 					","26.877064"
"Stu Gillespie "," 						  79.00 					"," 						  2.92 					"," 						  162.0 					","76.63"
"Evan Gray "," 						  52.11 					"," 						  2.56 					"," 						  122.1 					","45.450342"
"Mark Gillespie "," 						  28.68 					"," 						  4.36 					"," 						  39.4 					","22.852224"
"Dayle Hadlee "," 						  33.64 					"," 						  2.93 					"," 						  68.7 					","26.370396"
"Sir Richard Hadlee "," 						  22.29 					"," 						  2.63 					"," 						  50.8 					","16.340799"
"Chris Harris "," 						  73.12 					"," 						  2.74 					"," 						  160.0 					","69.97584"
"Matthew Hart "," 						  49.58 					"," 						  2.79 					"," 						  106.4 					","42.257034"
"Mark Haslam "," 						  122.50 					"," 						  2.98 					"," 						  246.5 					","139.895"
"Geoff Howarth "," 						  90.33 					"," 						  2.64 					"," 						  204.6 					","94.051596"
"Hedley Howarth "," 						  36.95 					"," 						  2.15 					"," 						  102.7 					","30.036655"
"Andrew Jones "," 						  194.00 					"," 						  3.54 					"," 						  328.0 					","258.602"
"Robert Kennedy "," 						  63.33 					"," 						  3.58 					"," 						  106.0 					","56.42703"
"Chris Kuggeleijn "," 						  67.00 					"," 						  4.14 					"," 						  97.0 					","60.367"
"Gavin Larsen "," 						  28.70 					"," 						  2.10 					"," 						  81.9 					","22.06456"
"Chris Martin "," 						  33.81 					"," 						  3.37 					"," 						  60.1 					","26.665947"
"Craig McMillan "," 						  44.89 					"," 						  3.01 					"," 						  89.3 					","37.218299"
"Danny Morrison "," 						  34.68 					"," 						  3.30 					"," 						  62.9 					","27.424944"
"John Morrison "," 						  35.50 					"," 						  1.61 					"," 						  132.0 					","29.97975"
"Brendon McCullum "," 						  88.00 					"," 						  3.01 					"," 						  175.0 					","88.044"
"Kyle Mills "," 						  33.02 					"," 						  3.00 					"," 						  65.9 					","25.815036"
"Andy McKay "," 						  120.00 					"," 						  3.87 					"," 						  186.0 					","127.86"
"Dion Nash "," 						  28.48 					"," 						  2.56 					"," 						  66.6 					","21.678976"
