Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Ravindra Jadeja "," 						  23.73 					"," 						  2.32 					"," 						  61.2 					","17.522232"
"Ishant Sharma "," 						  35.94 					"," 						  3.23 					"," 						  66.6 					","28.561518"
"Murali Vijay "," 						  167.00 					"," 						  3.03 					"," 						  330.0 					","219.0205"
"Syed Abid Ali "," 						  42.12 					"," 						  2.85 					"," 						  88.5 					","34.51734"
"Ajit Agarkar "," 						  47.32 					"," 						  3.39 					"," 						  83.7 					","39.602108"
"Mohinder Amarnath "," 						  55.68 					"," 						  2.90 					"," 						  114.8 					","48.697728"
"Surinder Amarnath "," 						  5.00 					"," 						  2.72 					"," 						  11.0 					","3.29"
"Salil Ankola "," 						  64.00 					"," 						  4.26 					"," 						  90.0 					","57.152"
"Arshad Ayub "," 						  35.07 					"," 						  2.35 					"," 						  89.3 					","27.919227"
"Bharat Arun "," 						  29.00 					"," 						  2.76 					"," 						  63.0 					","22.156"
"Kirti Azad "," 						  124.33 					"," 						  2.98 					"," 						  250.0 					","142.85517"
"Ravichandran Ashwin "," 						  25.56 					"," 						  2.88 					"," 						  53.1 					","19.175112"
"Sairaj Bahutule "," 						  67.66 					"," 						  3.32 					"," 						  122.0 					","61.5706"
"Lakshmipathy Balaji "," 						  37.18 					"," 						  3.43 					"," 						  65.0 					","29.79977"
"Subroto Banerjee "," 						  15.66 					"," 						  2.61 					"," 						  36.0 					","11.00115"
"Bishan Bedi "," 						  28.71 					"," 						  2.14 					"," 						  80.3 					","22.037796"
"Roger Binny "," 						  32.63 					"," 						  3.20 					"," 						  61.0 					","25.51666"
"Stuart Binny "," 						  86.00 					"," 						  3.44 					"," 						  150.0 					","83.592"
"Sanjay Bangar "," 						  49.00 					"," 						  2.70 					"," 						  108.8 					","41.7774"
"Bhagwath Chandrasekhar "," 						  29.74 					"," 						  2.70 					"," 						  65.9 					","22.804632"
"Chetan Chauhan "," 						  53.00 					"," 						  3.65 					"," 						  87.0 					","45.3945"
"Rajesh Chauhan "," 						  39.51 					"," 						  2.34 					"," 						  101.0 					","32.35869"
"Dilip Doshi "," 						  30.71 					"," 						  2.25 					"," 						  81.7 					","23.827889"
"Rahul Dravid "," 						  39.00 					"," 						  1.95 					"," 						  120.0 					","32.6625"
"Anshuman Gaekwad "," 						  93.50 					"," 						  3.35 					"," 						  167.0 					","93.64025"
