Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Mohammad Talha "," 						  56.00 					"," 						  4.08 					"," 						  82.2 					","48.6304"
"Junaid Khan "," 						  31.73 					"," 						  2.93 					"," 						  64.8 					","24.625653"
"Umar Amin "," 						  21.00 					"," 						  2.86 					"," 						  44.0 					","15.351"
"Mohammad Amir "," 						  32.87 					"," 						  2.91 					"," 						  67.5 					","25.655035"
"Asad Shafiq "," 						  63.00 					"," 						  3.34 					"," 						  113.0 					","56.259"
"Sohail Khan "," 						  41.66 					"," 						  3.69 					"," 						  67.7 					","34.157034"
"Haris Sohail "," 						  18.60 					"," 						  2.81 					"," 						  39.6 					","13.38642"
"Rahat Ali "," 						  37.43 					"," 						  3.21 					"," 						  69.7 					","29.940257"
"Bilawal Bhatti "," 						  48.50 					"," 						  3.98 					"," 						  73.0 					","40.9825"
"Mohammad Nawaz "," 						  29.40 					"," 						  2.30 					"," 						  76.6 					","22.58508"
"Aamer Malik "," 						  89.00 					"," 						  3.42 					"," 						  156.0 					","87.487"
"Aamer Nazir "," 						  29.85 					"," 						  3.38 					"," 						  52.8 					","23.12181"
"Aamer Sohail "," 						  41.96 					"," 						  2.64 					"," 						  95.3 					","34.516296"
"Aaqib Javed "," 						  34.70 					"," 						  2.86 					"," 						  72.5 					","27.3436"
"Abdul Qadir "," 						  32.80 					"," 						  2.71 					"," 						  72.5 					","25.6004"
"Akram Raza "," 						  56.30 					"," 						  2.87 					"," 						  117.3 					","49.43703"
"Arshad Khan "," 						  30.00 					"," 						  2.26 					"," 						  79.3 					","23.148"
"Ashfaq Ahmed "," 						  26.50 					"," 						  2.30 					"," 						  69.0 					","19.9545"
"Asif Iqbal "," 						  28.33 					"," 						  2.33 					"," 						  72.9 					","21.595959"
"Asif Masood "," 						  41.26 					"," 						  3.09 					"," 						  79.9 					","33.598018"
"Asif Mujtaba "," 						  75.75 					"," 						  2.72 					"," 						  166.5 					","73.40175"
"Ata-ur-Rehman "," 						  34.54 					"," 						  3.25 					"," 						  63.6 					","27.276238"
"Azeem Hafeez "," 						  34.98 					"," 						  3.03 					"," 						  69.0 					","27.61671"
"Azhar Mahmood "," 						  35.94 					"," 						  2.79 					"," 						  77.3 					","28.539954"
"Azhar Ali "," 						  73.62 					"," 						  4.25 					"," 						  103.8 					","67.737762"
"Abdur Rauf "," 						  46.33 					"," 						  3.70 					"," 						  75.0 					","38.68555"
"Abdur Rehman "," 						  29.39 					"," 						  2.53 					"," 						  69.6 					","22.503923"
"Aizaz Cheema "," 						  31.90 					"," 						  3.19 					"," 						  60.0 					","24.86605"
"Abdul Razzaq "," 						  36.94 					"," 						  3.16 					"," 						  70.0 					","29.47812"
"Danish Kaneria "," 						  34.79 					"," 						  3.07 					"," 						  67.8 					","27.452789"
"Fazl-e-Akbar "," 						  46.45 					"," 						  3.47 					"," 						  80.1 					","38.725365"
"Ijaz Ahmed "," 						  38.50 					"," 						  2.56 					"," 						  90.0 					","31.108"
"Ijaz Faqih "," 						  74.75 					"," 						  3.35 					"," 						  133.5 					","69.853875"
"Imran Khan "," 						  22.81 					"," 						  2.54 					"," 						  53.7 					","16.751664"
"Intikhab Alam "," 						  35.95 					"," 						  2.57 					"," 						  83.7 					","28.612605"
"Iqbal Qasim "," 						  28.11 					"," 						  2.21 					"," 						  76.1 					","21.439497"
"Irfan Fazil "," 						  32.50 					"," 						  8.12 					"," 						  24.0 					","31.005"
"Imran Farhat "," 						  94.66 					"," 						  3.99 					"," 						  142.3 					","93.154906"
"Jalal-ud-Din "," 						  48.81 					"," 						  2.69 					"," 						  108.8 					","41.591001"
"Javed Miandad "," 						  40.11 					"," 						  2.78 					"," 						  86.4 					","32.561298"
"Kabir Khan "," 						  41.11 					"," 						  3.38 					"," 						  72.7 					","33.479984"
"Liaqat Ali "," 						  59.83 					"," 						  2.66 					"," 						  134.6 					","53.978626"
"Manzoor Elahi "," 						  27.71 					"," 						  2.62 					"," 						  63.4 					","20.998638"
"Mohammad Akram "," 						  50.52 					"," 						  3.48 					"," 						  86.8 					","42.820752"
"Mohammad Hussain "," 						  29.00 					"," 						  2.90 					"," 						  60.0 					","22.185"
"Mohammad Nazir "," 						  33.05 					"," 						  2.06 					"," 						  95.9 					","26.26814"
"Mohammad Zahid "," 						  33.46 					"," 						  3.80 					"," 						  52.8 					","26.620776"
"Mohsin Kamal "," 						  34.25 					"," 						  3.65 					"," 						  56.1 					","27.218475"
"Mudassar Nazar "," 						  38.36 					"," 						  2.54 					"," 						  90.4 					","30.987208"
"Mushtaq Ahmed "," 						  32.97 					"," 						  2.92 					"," 						  67.7 					","25.762758"
"Mushtaq Mohammad "," 						  29.22 					"," 						  2.63 					"," 						  66.5 					","22.33869"
"Mohammad Sami "," 						  52.74 					"," 						  3.58 					"," 						  88.2 					","45.113796"
"Mohammad Asif "," 						  24.36 					"," 						  2.99 					"," 						  48.7 					","18.194484"
"Mohammad Hafeez "," 						  33.90 					"," 						  2.67 					"," 						  76.0 					","26.62845"
"Majid Khan "," 						  53.92 					"," 						  2.43 					"," 						  132.7 					","47.821648"
"Nadeem Khan "," 						  115.00 					"," 						  3.19 					"," 						  216.0 					","125.5225"
"Nasim-ul-Ghani "," 						  37.67 					"," 						  2.66 					"," 						  84.7 					","30.226408"
"Naved Anjum "," 						  40.50 					"," 						  2.84 					"," 						  85.5 					","32.9265"
"Naved-ul-Hasan "," 						  58.00 					"," 						  4.00 					"," 						  86.9 					","50.6804"
"Rashid Khan "," 						  45.00 					"," 						  2.92 					"," 						  92.2 					","37.368"
"Rizwan-uz-Zaman "," 						  11.50 					"," 						  2.09 					"," 						  33.0 					","7.71075"
"Saleem Altaf "," 						  37.17 					"," 						  2.56 					"," 						  86.9 					","29.802906"
"Saleem Malik "," 						  82.80 					"," 						  3.38 					"," 						  146.8 					","79.70328"
"Saqlain Mushtaq "," 						  29.83 					"," 						  2.64 					"," 						  67.6 					","22.885576"
"Sarfraz Nawaz "," 						  32.75 					"," 						  2.49 					"," 						  78.8 					","25.613775"
"Shabbir Ahmed "," 						  23.03 					"," 						  2.73 					"," 						  50.5 					","16.984625"
"Shahid Afridi "," 						  35.60 					"," 						  3.21 					"," 						  66.5 					","28.2486"
"Shahid Mahboob "," 						  65.50 					"," 						  2.67 					"," 						  147.0 					","60.75125"
"Shahid Nazir "," 						  35.33 					"," 						  3.41 					"," 						  62.0 					","28.069685"
"Shoaib Akhtar "," 						  25.69 					"," 						  3.37 					"," 						  45.7 					","19.521831"
"Shoaib Malik "," 						  47.46 					"," 						  3.36 					"," 						  84.7 					","39.743004"
"Shoaib Mohammad "," 						  34.00 					"," 						  2.57 					"," 						  79.2 					","26.7546"
"Sikander Bakht "," 						  36.00 					"," 						  2.97 					"," 						  72.6 					","28.5732"
"Salman Butt "," 						  106.00 					"," 						  4.64 					"," 						  137.0 					","106.636"
"Saeed Ajmal "," 						  28.10 					"," 						  2.58 					"," 						  65.1 					","21.33352"
"Saleem Jaffar "," 						  31.63 					"," 						  2.70 					"," 						  70.3 					","24.532228"
"Mohammad Irfan "," 						  38.90 					"," 						  3.27 					"," 						  71.2 					","31.34951"
"Sohail Tanvir "," 						  63.20 					"," 						  3.76 					"," 						  100.8 					","56.22272"
"Tahir Naqqash "," 						  41.11 					"," 						  2.99 					"," 						  82.3 					","33.467651"
"Taslim Arif "," 						  28.00 					"," 						  5.60 					"," 						  30.0 					","23.52"
"Tauseef Ahmed "," 						  31.72 					"," 						  2.27 					"," 						  83.6 					","24.763804"
"Tanvir Ahmed "," 						  26.64 					"," 						  3.84 					"," 						  41.5 					","20.646"
"Umar Gul "," 						  34.06 					"," 						  3.47 					"," 						  58.8 					","26.944866"
"Waqar Younis "," 						  23.56 					"," 						  3.25 					"," 						  43.4 					","17.653508"
"Wasim Akram "," 						  23.62 					"," 						  2.59 					"," 						  54.6 					","17.448094"
"Wasim Raja "," 						  35.80 					"," 						  2.68 					"," 						  80.0 					","28.4252"
"Wahab Riaz "," 						  33.53 					"," 						  3.43 					"," 						  58.5 					","26.438405"
"Younis Khan "," 						  54.55 					"," 						  3.66 					"," 						  89.3 					","47.00028"
"Yasir Arafat "," 						  48.66 					"," 						  4.19 					"," 						  69.6 					","41.297742"
"Yasir Shah "," 						  29.44 					"," 						  3.14 					"," 						  56.2 					","22.651136"
"Zaheer Abbas "," 						  44.00 					"," 						  2.14 					"," 						  123.3 					","37.5584"
"Zakir Khan "," 						  51.80 					"," 						  3.50 					"," 						  88.8 					","44.16468"
"Zulfiqar Babar "," 						  39.42 					"," 						  2.85 					"," 						  82.9 					","31.863186"
