Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Milinda Siriwardana "," 						  23.36 					"," 						  3.73 					"," 						  37.5 					","17.78864"
"Dimuth Karunaratne "," 						  97.00 					"," 						  4.04 					"," 						  144.0 					","96.03"
"Thisara Perera "," 						  59.36 					"," 						  4.10 					"," 						  86.7 					","52.141824"
"Shaminda Eranga "," 						  37.50 					"," 						  3.29 					"," 						  68.2 					","30.03375"
"Ajantha Mendis "," 						  34.77 					"," 						  3.08 					"," 						  67.5 					","27.43353"
"Lahiru Gamage "," 						  46.30 					"," 						  3.20 					"," 						  86.6 					","38.57716"
"Nuwan Pradeep "," 						  42.90 					"," 						  3.54 					"," 						  72.5 					","35.2638"
"Kithuruwan Vithanage "," 						  133.00 					"," 						  4.58 					"," 						  174.0 					","143.241"
"Danushka Gunathilaka "," 						  57.00 					"," 						  4.75 					"," 						  72.0 					","50.2455"
"Asela Gunaratne "," 						  38.00 					"," 						  4.38 					"," 						  52.0 					","31.274"
"Lakshan Sandakan "," 						  38.78 					"," 						  3.65 					"," 						  63.6 					","31.400166"
"Dasun Shanaka "," 						  29.00 					"," 						  3.56 					"," 						  48.7 					","22.4866"
"Vishwa Fernando "," 						  34.33 					"," 						  3.67 					"," 						  56.0 					","27.309515"
"Dhananjaya de Silva "," 						  65.71 					"," 						  3.73 					"," 						  105.4 					","58.961583"
"Tharindu Kaushal "," 						  44.20 					"," 						  3.99 					"," 						  66.3 					","36.77882"
"Saliya Ahangama "," 						  19.33 					"," 						  2.60 					"," 						  44.5 					","13.89827"
"Kaushik Amalean "," 						  22.28 					"," 						  3.83 					"," 						  34.8 					","16.957308"
"Don Anurasiri "," 						  37.75 					"," 						  2.33 					"," 						  96.9 					","30.588825"
"Russel Arnold "," 						  54.36 					"," 						  2.68 					"," 						  121.2 					","47.641104"
"Marvan Atapattu "," 						  24.00 					"," 						  3.00 					"," 						  48.0 					","17.904"
"Ishara Amerasinghe "," 						  105.00 					"," 						  4.20 					"," 						  150.0 					","106.05"
"Malinga Bandara "," 						  39.56 					"," 						  3.29 					"," 						  72.0 					","31.98426"
"Niroshan Bandaratilleke "," 						  30.34 					"," 						  2.43 					"," 						  74.8 					","23.395174"
"Upul Chandana "," 						  41.48 					"," 						  3.43 					"," 						  72.5 					","33.86842"
"Ashantha de Mel "," 						  36.94 					"," 						  3.71 					"," 						  59.6 					","29.725618"
"Somachandra De Silva "," 						  36.40 					"," 						  2.66 					"," 						  81.9 					","29.00352"
"Asoka de Silva "," 						  129.00 					"," 						  2.65 					"," 						  291.0 					","156.6705"
"Ajit de Silva "," 						  55.00 					"," 						  2.40 					"," 						  137.4 					","49.214"
"Sajeewa de Silva "," 						  55.56 					"," 						  3.36 					"," 						  99.0 					","48.11496"
"Aravinda de Silva "," 						  41.65 					"," 						  2.79 					"," 						  89.4 					","34.082195"
"Kumar Dharmasena "," 						  42.31 					"," 						  2.52 					"," 						  100.5 					","34.99037"
"Tillakaratne Dilshan "," 						  43.87 					"," 						  3.03 					"," 						  86.7 					","36.188363"
"Dinusha Fernando "," 						  107.00 					"," 						  5.09 					"," 						  126.0 					","107.6955"
"Dilhara Fernando "," 						  37.84 					"," 						  3.67 					"," 						  61.8 					","30.540664"
"Charitha Buddhika "," 						  44.00 					"," 						  3.74 					"," 						  70.5 					","36.432"
"Hasantha Fernando "," 						  27.00 					"," 						  2.76 					"," 						  58.5 					","20.385"
"Asanka Gurusinha "," 						  34.05 					"," 						  2.90 					"," 						  70.4 					","26.75649"
"Chandika Hathurusingha "," 						  46.41 					"," 						  2.41 					"," 						  115.4 					","39.508833"
"Rangana Herath "," 						  28.17 					"," 						  2.81 					"," 						  60.0 					","21.423285"
"Sanath Jayasuriya "," 						  34.34 					"," 						  2.46 					"," 						  83.5 					","27.1286"
"Vinothen John "," 						  21.92 					"," 						  2.87 					"," 						  45.7 					","16.109008"
"Mahela Jayawardene "," 						  51.66 					"," 						  3.15 					"," 						  98.1 					","44.102142"
"Ruwan Kalpage "," 						  64.50 					"," 						  2.94 					"," 						  131.3 					","58.6692"
"Sanath Kaluperuma "," 						  62.00 					"," 						  3.10 					"," 						  120.0 					","55.49"
"Kosala Kulasekara "," 						  80.00 					"," 						  2.85 					"," 						  168.0 					","78.28"
"Nuwan Kulasekara "," 						  37.37 					"," 						  3.01 					"," 						  74.3 					","29.862367"
"Graeme Labrooy "," 						  44.22 					"," 						  3.31 					"," 						  79.9 					","36.494766"
"Dulip Liyanage "," 						  39.17 					"," 						  2.94 					"," 						  79.7 					","31.586688"
"Kaushal Lokuarachchi "," 						  59.00 					"," 						  2.97 					"," 						  118.8 					","52.2799"
"Chamila Gamage "," 						  31.60 					"," 						  3.29 					"," 						  57.6 					","24.63852"
"Suranga Lakmal "," 						  43.56 					"," 						  3.23 					"," 						  80.8 					","35.854236"
"Ranjith Madurasinghe "," 						  57.33 					"," 						  2.60 					"," 						  132.0 					","51.25302"
"Muttiah Muralitharan "," 						  22.72 					"," 						  2.47 					"," 						  55.0 					","16.66512"
"Farveez Maharoof "," 						  65.24 					"," 						  3.32 					"," 						  117.6 					","58.794288"
"Thilan Thushara "," 						  37.14 					"," 						  3.74 					"," 						  59.5 					","29.93484"
"Lasith Malinga "," 						  33.15 					"," 						  3.85 					"," 						  51.5 					","26.370825"
"Angelo Mathews "," 						  52.66 					"," 						  2.72 					"," 						  116.0 					","45.70888"
"Prabath Nissanka "," 						  36.60 					"," 						  3.74 					"," 						  58.7 					","29.44104"
"Suresh Perera "," 						  180.00 					"," 						  2.64 					"," 						  408.0 					","260.64"
"Ravindra Pushpakumara "," 						  38.65 					"," 						  3.54 					"," 						  65.3 					","31.21374"
"Ruchira Perera "," 						  38.88 					"," 						  3.50 					"," 						  66.4 					","31.407264"
"Dilruwan Perera "," 						  35.20 					"," 						  3.26 					"," 						  64.7 					","27.89248"
"Dhammika Prasad "," 						  35.97 					"," 						  3.74 					"," 						  57.6 					","28.855134"
"Malinda Pushpakumara "," 						  47.60 					"," 						  3.88 					"," 						  73.6 					","40.04112"
