Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Keegan Meth "," 						  24.50 					"," 						  1.81 					"," 						  81.0 					","18.43625"
"Brian Vitori "," 						  38.66 					"," 						  3.34 					"," 						  69.4 					","31.152228"
"Tendai Chisoro "," 						  37.66 					"," 						  2.73 					"," 						  82.6 					","30.192022"
"Tafadzwa Kamungozi "," 						  58.00 					"," 						  2.23 					"," 						  156.0 					","53.563"
"Solomon Mire "," 						  32.00 					"," 						  2.28 					"," 						  84.0 					","25.024"
"Sikandar Raza "," 						  58.69 					"," 						  3.37 					"," 						  104.2 					","51.465261"
"Kyle Jarvis "," 						  30.97 					"," 						  3.51 					"," 						  52.9 					","24.196861"
"Njabulo Ncube "," 						  121.00 					"," 						  3.45 					"," 						  210.0 					","132.1925"
"Shingi Masakadza "," 						  32.18 					"," 						  2.92 					"," 						  66.0 					","25.03604"
"Natsai M'shangwe "," 						  62.14 					"," 						  3.30 					"," 						  112.8 					","55.341884"
"Donald Tiripano "," 						  51.00 					"," 						  2.96 					"," 						  103.2 					","43.5744"
"Tendai Chatara "," 						  29.25 					"," 						  2.42 					"," 						  72.3 					","22.3938"
"Andy Blignaut "," 						  37.05 					"," 						  3.71 					"," 						  59.8 					","29.828955"
"David Brain "," 						  30.50 					"," 						  3.03 					"," 						  60.3 					","23.54905"
"Eddo Brandes "," 						  36.57 					"," 						  2.85 					"," 						  76.7 					","29.106063"
"Gary Brent "," 						  44.85 					"," 						  2.30 					"," 						  116.8 					","38.05971"
"Mark Burmester "," 						  75.66 					"," 						  3.12 					"," 						  145.3 					","71.619756"
"Gary Crocker "," 						  72.33 					"," 						  2.85 					"," 						  152.0 					","68.460345"
"Elton Chigumbura "," 						  46.00 					"," 						  3.20 					"," 						  86.0 					","38.272"
"Graeme Cremer "," 						  45.68 					"," 						  3.70 					"," 						  73.9 					","38.042304"
"Michael Chinouya "," 						  62.66 					"," 						  3.29 					"," 						  114.0 					","55.92405"
"Chamu Chibhabha "," 						  162.00 					"," 						  3.95 					"," 						  246.0 					","192.699"
"Keith Dabengwa "," 						  49.80 					"," 						  3.41 					"," 						  87.6 					","42.11586"
"Sean Ervine "," 						  43.11 					"," 						  4.08 					"," 						  63.3 					","35.807166"
"Gavin Ewing "," 						  130.00 					"," 						  3.66 					"," 						  213.0 					","144.17"
"Grant Flower "," 						  61.48 					"," 						  2.73 					"," 						  135.1 					","55.743916"
"Travis Friend "," 						  43.60 					"," 						  3.27 					"," 						  80.0 					","35.9046"
"Trevor Gripper "," 						  84.83 					"," 						  3.85 					"," 						  132.1 					","81.156861"
"Adam Huckle "," 						  34.88 					"," 						  3.33 					"," 						  62.7 					","27.621472"
"Douglas Hondo "," 						  36.85 					"," 						  3.12 					"," 						  70.7 					","29.38419"
"Malcolm Jarvis "," 						  35.72 					"," 						  1.85 					"," 						  115.7 					","29.429708"
"Neil Johnson "," 						  39.60 					"," 						  3.00 					"," 						  79.0 					","31.9968"
"Charlie Lock "," 						  21.00 					"," 						  3.50 					"," 						  36.0 					","15.687"
"Greg Lamb "," 						  47.00 					"," 						  4.40 					"," 						  64.0 					","39.856"
"Dougie Marillier "," 						  29.27 					"," 						  3.13 					"," 						  56.0 					","22.493995"
"Everton Matambanadzo "," 						  62.50 					"," 						  3.90 					"," 						  96.0 					","55.4375"
"Pommie Mbangwa "," 						  31.43 					"," 						  2.32 					"," 						  81.1 					","24.458826"
"Hamilton Masakadza "," 						  30.12 					"," 						  2.51 					"," 						  72.0 					","23.17734"
"Brian Murphy "," 						  61.83 					"," 						  3.10 					"," 						  119.6 					","55.288386"
"Stuart Matsikenyeri "," 						  172.50 					"," 						  4.28 					"," 						  241.5 					","206.4825"
"Blessing Mahwire "," 						  50.83 					"," 						  4.26 					"," 						  71.5 					","43.51048"
"Chris Mpofu "," 						  48.00 					"," 						  3.35 					"," 						  85.8 					","40.2768"
"Waddington Mwayenga "," 						  79.00 					"," 						  3.76 					"," 						  126.0 					","74.26"
"Mluleki Nkala "," 						  66.09 					"," 						  3.00 					"," 						  132.0 					","60.40626"
"John Nyumbu "," 						  75.80 					"," 						  3.42 					"," 						  132.6 					","70.96396"
"Henry Olonga "," 						  38.52 					"," 						  3.49 					"," 						  66.2 					","31.081788"
"Ali Shah "," 						  125.00 					"," 						  4.03 					"," 						  186.0 					","134.1875"
"Stephen Peall "," 						  75.75 					"," 						  2.04 					"," 						  222.0 					","79.2345"
"Ray Price "," 						  36.06 					"," 						  2.82 					"," 						  76.6 					","28.638852"
"Tinashe Panyangara "," 						  26.22 					"," 						  2.58 					"," 						  60.9 					","19.685976"
"Ujesh Ranchod "," 						  45.00 					"," 						  3.75 					"," 						  72.0 					","37.4175"
"Gavin Rennie "," 						  84.00 					"," 						  4.00 					"," 						  126.0 					","79.968"
"John Rennie "," 						  97.66 					"," 						  2.42 					"," 						  241.3 					","107.777576"
"Bryan Strang "," 						  39.33 					"," 						  2.43 					"," 						  97.0 					","32.073615"
"Paul Strang "," 						  36.02 					"," 						  2.64 					"," 						  81.7 					","28.650308"
"Heath Streak "," 						  28.14 					"," 						  2.69 					"," 						  62.7 					","21.383586"
"John Traicos "," 						  42.72 					"," 						  2.86 					"," 						  89.5 					","35.11584"
"Tatenda Taibu "," 						  27.00 					"," 						  3.37 					"," 						  48.0 					","20.6415"
"Prosper Utseya "," 						  41.00 					"," 						  3.26 					"," 						  75.3 					","33.3576"
"Dirk Viljoen "," 						  65.00 					"," 						  3.71 					"," 						  105.0 					","58.2075"
"Andy Whittall "," 						  105.14 					"," 						  2.82 					"," 						  223.1 					","114.308208"
"Guy Whittall "," 						  40.94 					"," 						  2.67 					"," 						  91.8 					","33.452074"
"Sean Williams "," 						  40.33 					"," 						  3.19 					"," 						  75.6 					","32.695531"
"Malcolm Waller "," 						  27.25 					"," 						  2.86 					"," 						  57.0 					","20.62825"
"Carl Mumba "," 						  37.25 					"," 						  3.82 					"," 						  58.3 					","30.0831"
