Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Ravi Bopara "," 						  290.00 					"," 						  4.00 					"," 						  434.0 					","449.886666667"
"Stuart Broad "," 						  29.31 					"," 						  2.97 					"," 						  59.0 					","21.7260375"
"Andy Caddick "," 						  29.91 					"," 						  3.09 					"," 						  57.9 					","22.3143555"
"Freddie Calthorpe "," 						  91.00 					"," 						  2.67 					"," 						  204.0 					","92.25125"
"David Capel "," 						  50.66 					"," 						  3.19 					"," 						  95.2 					","41.8696456667"
"Donald Carr "," 						  70.00 					"," 						  4.00 					"," 						  105.0 					","62.5333333333"
"Douglas Carr "," 						  40.28 					"," 						  4.08 					"," 						  59.1 					","32.473736"
"Tom Cartwright "," 						  36.26 					"," 						  2.02 					"," 						  107.4 					","28.3782846667"
"John Childs "," 						  61.00 					"," 						  2.12 					"," 						  172.0 					","55.9776666667"
"Stanley Christopherson "," 						  69.00 					"," 						  3.04 					"," 						  136.0 					","62.054"
"Nobby Clark "," 						  28.09 					"," 						  2.79 					"," 						  60.3 					","20.5998015"
"Brian Close "," 						  29.55 					"," 						  2.63 					"," 						  67.3 					","21.8083925"
"Len Coldwell "," 						  27.72 					"," 						  2.19 					"," 						  75.8 					","20.217582"
"Paul Collingwood "," 						  59.88 					"," 						  3.20 					"," 						  112.0 					","51.53672"
"Denis Compton "," 						  56.40 					"," 						  3.12 					"," 						  108.4 					","47.87232"
"Nick Cook "," 						  32.48 					"," 						  2.42 					"," 						  80.2 					","24.4108853333"
"Geoff Cope "," 						  34.62 					"," 						  1.92 					"," 						  108.0 					","26.93436"
"Bill Copson "," 						  19.80 					"," 						  2.33 					"," 						  50.8 					","13.61283"
"Dominic Cork "," 						  29.81 					"," 						  3.05 					"," 						  58.6 					","22.2119278333"
"Bob Cottam "," 						  23.35 					"," 						  2.17 					"," 						  64.5 					","16.4753708333"
"Norman Cowans "," 						  39.27 					"," 						  3.48 					"," 						  67.6 					","30.952614"
"Chris Cowdrey "," 						  77.25 					"," 						  4.64 					"," 						  99.7 					","71.07515"
"Alec Coxon "," 						  57.33 					"," 						  2.73 					"," 						  126.0 					","49.3754625"
"Ken Cranston "," 						  25.61 					"," 						  2.73 					"," 						  56.1 					","18.4763345"
"Jack Crawford "," 						  29.48 					"," 						  3.13 					"," 						  56.4 					","21.9739006667"
"Robert Croft "," 						  37.24 					"," 						  2.37 					"," 						  94.2 					","28.922446"
"Willis Cuttell "," 						  12.16 					"," 						  1.53 					"," 						  47.5 					","7.71248"
"Rikki Clarke "," 						  15.00 					"," 						  2.06 					"," 						  43.5 					","9.8575"
"Alastair Cook "," 						  7.00 					"," 						  2.33 					"," 						  18.0 					","4.35341666667"
"Richard Dawson "," 						  61.54 					"," 						  3.63 					"," 						  101.4 					","53.204407"
