Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Jackson Bird "," 						  30.64 					"," 						  3.23 					"," 						  56.8 					","23.0417906667"
"Albert Trott "," 						  15.00 					"," 						  2.46 					"," 						  36.4 					","9.9945"
"David Warner "," 						  67.25 					"," 						  4.71 					"," 						  85.5 					","60.2391875"
"Sammy Woods "," 						  25.00 					"," 						  3.64 					"," 						  41.2 					","18.6183333333"
"John Hastings "," 						  153.00 					"," 						  3.92 					"," 						  234.0 					","175.44"
"Jon Holland "," 						  54.80 					"," 						  3.34 					"," 						  98.4 					","46.1215066667"
"Peter George "," 						  38.50 					"," 						  2.75 					"," 						  84.0 					","29.9690416667"
"Steven Smith "," 						  54.88 					"," 						  4.18 					"," 						  78.7 					","46.7156853333"
"James Faulkner "," 						  16.33 					"," 						  3.54 					"," 						  27.6 					","11.622061"
"Nathan Lyon "," 						  31.76 					"," 						  3.06 					"," 						  62.1 					","23.905752"
"Mitchell Marsh "," 						  39.93 					"," 						  3.50 					"," 						  68.3 					","31.575313"
"James Pattinson "," 						  26.15 					"," 						  3.35 					"," 						  46.8 					","19.3252858333"
"Trent Copeland "," 						  37.83 					"," 						  2.10 					"," 						  108.0 					","29.828955"
"Josh Hazlewood "," 						  26.00 					"," 						  2.81 					"," 						  55.4 					","18.8426333333"
"Michael Beer "," 						  59.33 					"," 						  2.63 					"," 						  135.3 					","51.8554088333"
"Mitchell Starc "," 						  28.17 					"," 						  3.42 					"," 						  49.3 					","21.073977"
"Glenn Maxwell "," 						  42.62 					"," 						  4.42 					"," 						  57.7 					","35.0862046667"
"Ted a'Beckett "," 						  105.66 					"," 						  1.79 					"," 						  354.0 					","133.386945"
"Terry Alderman "," 						  27.15 					"," 						  2.72 					"," 						  59.8 					","19.77244"
"George Alexander "," 						  46.50 					"," 						  3.32 					"," 						  84.0 					","37.7425"
"Harry Alexander "," 						  154.00 					"," 						  3.34 					"," 						  276.0 					","184.312333333"
"Frank Allan "," 						  20.00 					"," 						  2.66 					"," 						  45.0 					","13.9033333333"
"Peter Allan "," 						  41.50 					"," 						  2.59 					"," 						  96.0 					","32.9129583333"
"Tommy Andrews "," 						  116.00 					"," 						  4.46 					"," 						  156.0 					","118.571333333"
"Jo Angel "," 						  46.30 					"," 						  3.71 					"," 						  74.8 					","37.7815716667"
"Ron Archer "," 						  27.45 					"," 						  2.21 					"," 						  74.5 					","19.9813125"
"Warwick Armstrong "," 						  33.59 					"," 						  2.18 					"," 						  92.2 					","25.5810243333"
"Alec Bannerman "," 						  40.75 					"," 						  3.34 					"," 						  73.0 					","32.2264583333"
"Sid Barnes "," 						  54.50 					"," 						  2.20 					"," 						  148.5 					","47.7056666667"
"Graeme Beard "," 						  109.00 					"," 						  2.52 					"," 						  259.0 					","121.535"
"John Benaud "," 						  6.00 					"," 						  3.00 					"," 						  12.0 					","3.894"
"Richie Benaud "," 						  27.03 					"," 						  2.10 					"," 						  77.0 					","19.637295"
"Murray Bennett "," 						  54.16 					"," 						  2.93 					"," 						  110.8 					","45.6307026667"
"Michael Bevan "," 						  24.24 					"," 						  3.28 					"," 						  44.3 					","17.693584"
"Andy Bichel "," 						  32.24 					"," 						  3.36 					"," 						  57.5 					","24.53464"
"Don Blackie "," 						  31.71 					"," 						  2.11 					"," 						  90.0 					","23.8802725"
