Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Dean Elgar "," 						  42.71 					"," 						  3.78 					"," 						  67.6 					","34.411447"
"Wayne Parnell "," 						  27.60 					"," 						  4.46 					"," 						  37.0 					","21.643"
"Stiaan van Zyl "," 						  24.66 					"," 						  2.20 					"," 						  67.1 					","17.571072"
"Keshav Maharaj "," 						  28.00 					"," 						  3.05 					"," 						  54.9 					","20.6560666667"
"Kyle Abbott "," 						  22.71 					"," 						  2.55 					"," 						  53.3 					","16.0184985"
"Temba Bavuma "," 						  61.00 					"," 						  3.81 					"," 						  96.0 					","52.71925"
"Hardus Viljoen "," 						  94.00 					"," 						  4.94 					"," 						  114.0 					","90.8196666667"
"Tabraiz Shamsi "," 						  75.00 					"," 						  3.42 					"," 						  131.5 					","68.4375"
"Dane Piedt "," 						  36.04 					"," 						  3.46 					"," 						  62.5 					","27.9970733333"
"Marchant de Lange "," 						  30.77 					"," 						  3.70 					"," 						  49.7 					","23.5462296667"
"Imran Tahir "," 						  40.24 					"," 						  3.50 					"," 						  68.8 					","31.8606906667"
"Simon Harmer "," 						  29.40 					"," 						  3.07 					"," 						  57.4 					","21.87017"
"Paul Adams "," 						  32.87 					"," 						  2.98 					"," 						  66.0 					","24.8442416667"
"Neil Adcock "," 						  21.10 					"," 						  2.06 					"," 						  61.4 					","14.6215966667"
"Gobo Ashley "," 						  13.57 					"," 						  3.29 					"," 						  24.7 					","9.38116716667"
"Chris Morris "," 						  38.25 					"," 						  4.42 					"," 						  51.9 					","31.044975"
"Xen Balaskas "," 						  36.63 					"," 						  3.07 					"," 						  71.4 					","28.2740865"
"Eddie Barlow "," 						  34.05 					"," 						  2.70 					"," 						  75.5 					","25.826925"
"Harold Baumgartner "," 						  49.50 					"," 						  3.57 					"," 						  83.0 					","40.800375"
"Denis Begbie "," 						  130.00 					"," 						  4.87 					"," 						  160.0 					","137.030833333"
"Sandy Bell "," 						  32.64 					"," 						  2.81 					"," 						  69.6 					","24.581728"
"George Finlay-Bissett "," 						  18.76 					"," 						  2.84 					"," 						  39.5 					","13.0319466667"
"Jimmy Blanckenberg "," 						  30.28 					"," 						  2.80 					"," 						  64.8 					","22.4960213333"
"Colin Bland "," 						  62.50 					"," 						  1.90 					"," 						  197.0 					","59.6770833333"
"Nicky Boje "," 						  42.65 					"," 						  2.96 					"," 						  86.2 					","33.9095933333"
"Tertius Bosch "," 						  34.66 					"," 						  2.63 					"," 						  79.0 					","26.3907016667"
