Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Kemar Roach "," 						  29.42 					"," 						  3.22 					"," 						  54.7 					","21.9836046667"
"Sunil Narine "," 						  40.52 					"," 						  3.09 					"," 						  78.5 					","31.89937"
"Clayton Lambert "," 						  5.00 					"," 						  3.00 					"," 						  10.0 					","3.225"
"Veerasammy Permaul "," 						  43.77 					"," 						  3.44 					"," 						  76.1 					","35.141474"
"Andre Russell "," 						  104.00 					"," 						  4.52 					"," 						  138.0 					","102.925333333"
"Brandon Bess "," 						  92.00 					"," 						  7.07 					"," 						  78.0 					","93.6943333333"
"Devendra Bishoo "," 						  36.01 					"," 						  3.18 					"," 						  67.7 					","27.760109"
"Kraigg Brathwaite "," 						  59.35 					"," 						  3.30 					"," 						  107.8 					","50.928235"
"Jason Holder "," 						  38.52 					"," 						  2.58 					"," 						  89.2 					","30.003228"
"Roston Chase "," 						  50.16 					"," 						  3.41 					"," 						  88.1 					","41.387852"
"Jermaine Blackwood "," 						  97.00 					"," 						  3.59 					"," 						  162.0 					","95.3914166667"
"Jomel Warrican "," 						  46.27 					"," 						  4.17 					"," 						  66.5 					","38.2305875"
"Shannon Gabriel "," 						  34.27 					"," 						  3.33 					"," 						  61.7 					","26.3073655"
"Raymon Reifer "," 						  44.00 					"," 						  2.93 					"," 						  90.0 					","35.2403333333"
"Carlos Brathwaite "," 						  242.00 					"," 						  3.55 					"," 						  408.0 					","356.486166667"
"Sheldon Cottrell "," 						  98.00 					"," 						  4.26 					"," 						  138.0 					","95.501"
"Puss Achong "," 						  47.25 					"," 						  2.47 					"," 						  114.7 					","38.9095875"
"Jimmy Adams "," 						  49.48 					"," 						  2.80 					"," 						  105.6 					","40.7979093333"
"Imtiaz Ali "," 						  44.50 					"," 						  2.61 					"," 						  102.0 					","35.878125"
"Inshan Ali "," 						  47.67 					"," 						  2.61 					"," 						  109.3 					","39.1299195"
"Ian Allen "," 						  36.00 					"," 						  3.82 					"," 						  56.4 					","28.2828"
"Sir Curtly Ambrose "," 						  20.99 					"," 						  2.30 					"," 						  54.5 					","14.5495683333"
"Keith Arthurton "," 						  183.00 					"," 						  2.32 					"," 						  473.0 					","280.234"
"Eric Atkinson "," 						  23.56 					"," 						  2.16 					"," 						  65.3 					","16.647496"
"Denis Atkinson "," 						  35.04 					"," 						  1.90 					"," 						  110.6 					","27.402448"
"Ryan Austin "," 						  51.66 					"," 						  2.85 					"," 						  108.6 					","43.056027"
"Eldine Baptiste "," 						  35.18 					"," 						  2.48 					"," 						  85.1 					","26.9080093333"
"Arthur Barrett "," 						  46.38 					"," 						  2.24 					"," 						  124.0 					","38.43356"
"Kenny Benjamin "," 						  30.27 					"," 						  3.25 					"," 						  55.7 					","22.7322655"
"Winston Benjamin "," 						  27.01 					"," 						  2.67 					"," 						  60.5 					","19.6295175"
"Lionel Birkett "," 						  71.00 					"," 						  3.38 					"," 						  126.0 					","63.8408333333"
"Ian Bishop "," 						  24.27 					"," 						  2.78 					"," 						  52.2 					","17.391073"
"Marlon Black "," 						  49.75 					"," 						  3.75 					"," 						  79.5 					","41.1805625"
"Keith Boyce "," 						  30.01 					"," 						  3.08 					"," 						  58.3 					","22.3954626667"
"Snuffy Browne "," 						  48.00 					"," 						  2.05 					"," 						  140.0 					","40.78"
"Basil Butcher "," 						  18.00 					"," 						  2.10 					"," 						  51.2 					","12.1482"
"Bunny Butler "," 						  75.50 					"," 						  3.77 					"," 						  120.0 					","68.6987083333"
"Clyde Butts "," 						  59.50 					"," 						  2.29 					"," 						  155.4 					","53.2158083333"
"Robin Bynoe "," 						  5.00 					"," 						  1.00 					"," 						  30.0 					","2.84166666667"
"Gareth Breese "," 						  67.50 					"," 						  4.30 					"," 						  94.0 					","59.99625"
"Ian Bradshaw "," 						  60.00 					"," 						  3.17 					"," 						  113.4 					","51.703"
"Sulieman Benn "," 						  39.10 					"," 						  2.78 					"," 						  84.1 					","30.5123366667"
"Omari Banks "," 						  48.82 					"," 						  3.41 					"," 						  85.7 					","40.0478596667"
"David Bernard "," 						  46.25 					"," 						  4.30 					"," 						  64.5 					","38.3797916667"
