Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Todd Astle "," 						  37.00 					"," 						  2.89 					"," 						  76.7 					","28.5633833333"
"Martin Guptill "," 						  37.25 					"," 						  4.17 					"," 						  53.5 					","29.8093125"
"Colin Munro "," 						  20.00 					"," 						  2.22 					"," 						  54.0 					","13.75"
"Tim Southee "," 						  31.23 					"," 						  3.05 					"," 						  61.3 					","23.4386355"
"Neil Wagner "," 						  27.82 					"," 						  3.21 					"," 						  51.9 					","20.616011"
"Corey Anderson "," 						  41.18 					"," 						  3.03 					"," 						  81.3 					","32.505433"
"Kane Williamson "," 						  38.96 					"," 						  3.32 					"," 						  70.2 					","30.5472373333"
"Trent Boult "," 						  27.80 					"," 						  2.97 					"," 						  56.0 					","20.43995"
"James Neesham "," 						  48.21 					"," 						  3.76 					"," 						  76.8 					","39.673616"
"Jack Alabaster "," 						  38.02 					"," 						  2.80 					"," 						  81.4 					","29.5085893333"
"Cyril Allcott "," 						  90.16 					"," 						  2.69 					"," 						  201.0 					","90.9639266667"
"Geoff Allott "," 						  58.47 					"," 						  3.29 					"," 						  106.4 					","49.9752835"
"Bryan Andrews "," 						  77.00 					"," 						  3.60 					"," 						  128.0 					","70.532"
"Nathan Astle "," 						  42.01 					"," 						  2.26 					"," 						  111.5 					","33.8110483333"
"Andre Adams "," 						  17.50 					"," 						  3.31 					"," 						  31.6 					","12.3599583333"
"Brent Arnel "," 						  62.88 					"," 						  3.36 					"," 						  112.0 					","54.7056"
"Doug Bracewell "," 						  38.83 					"," 						  3.36 					"," 						  69.2 					","30.458252"
"Ted Badcock "," 						  38.12 					"," 						  2.27 					"," 						  100.5 					","29.8638433333"
"Gary Bartlett "," 						  33.00 					"," 						  2.68 					"," 						  73.6 					","24.8666"
"Don Beard "," 						  33.55 					"," 						  2.24 					"," 						  89.5 					","25.4868166667"
"Bill Bell "," 						  117.50 					"," 						  2.87 					"," 						  245.5 					","130.238958333"
"Bob Blair "," 						  35.23 					"," 						  2.57 					"," 						  81.9 					","26.9057381667"
"Roger Blunt "," 						  39.33 					"," 						  3.02 					"," 						  78.0 					","30.762615"
"Stephen Boock "," 						  34.64 					"," 						  2.33 					"," 						  89.1 					","26.4690013333"
"Brendon Bracewell "," 						  41.78 					"," 						  3.38 					"," 						  74.0 					","33.2220633333"
"John Bracewell "," 						  35.81 					"," 						  2.60 					"," 						  82.3 					","27.4400093333"
"Grant Bradburn "," 						  76.66 					"," 						  3.18 					"," 						  144.5 					","70.87217"
"Vaughan Brown "," 						  176.00 					"," 						  3.08 					"," 						  342.0 					","231.205333333"
"Mark Burgess "," 						  35.33 					"," 						  2.55 					"," 						  83.0 					","27.0186175"
"Ces Burke "," 						  15.00 					"," 						  2.72 					"," 						  33.0 					","10.12"
"Tom Burtt "," 						  35.45 					"," 						  2.70 					"," 						  78.5 					","27.101525"
"Shane Bond "," 						  22.09 					"," 						  3.41 					"," 						  38.7 					","16.0443351667"
"Ian Butler "," 						  36.83 					"," 						  3.87 					"," 						  57.0 					","29.0864925"
"Lance Cairns "," 						  32.92 					"," 						  2.41 					"," 						  81.7 					","24.8211313333"
"Chris Cairns "," 						  29.40 					"," 						  3.28 					"," 						  53.6 					","22.00688"
"Frank Cameron "," 						  29.82 					"," 						  2.42 					"," 						  73.7 					","22.024058"
"Harry Cave "," 						  43.14 					"," 						  2.16 					"," 						  119.8 					","35.184984"
"Murray Chapple "," 						  84.00 					"," 						  2.03 					"," 						  248.0 					","89.411"
"Ewen Chatfield "," 						  32.17 					"," 						  2.29 					"," 						  84.2 					","24.1913038333"
"Richard Collinge "," 						  29.25 					"," 						  2.64 					"," 						  66.2 					","21.5397"
"Jeremy Coney "," 						  35.77 					"," 						  2.04 					"," 						  105.0 					","27.86483"
"Bevan Congdon "," 						  36.50 					"," 						  2.29 					"," 						  95.2 					","28.2503916667"
"Jack Cowie "," 						  21.53 					"," 						  2.86 					"," 						  45.0 					","15.2181216667"
"Fen Cresswell "," 						  22.46 					"," 						  2.69 					"," 						  50.0 					","15.8773483333"
"Ian Cromb "," 						  55.25 					"," 						  2.76 					"," 						  120.0 					","47.01775"
"Martin Crowe "," 						  48.28 					"," 						  2.94 					"," 						  98.3 					","39.497868"
"Bob Cunis "," 						  37.00 					"," 						  2.66 					"," 						  83.3 					","28.5553666667"
"Heath Davis "," 						  29.35 					"," 						  2.96 					"," 						  59.4 					","21.7620466667"
"Richard de Groen "," 						  45.90 					"," 						  2.85 					"," 						  96.3 					","37.126215"
"Eric Dempster "," 						  109.50 					"," 						  2.41 					"," 						  272.0 					","124.236875"
"George Dickinson "," 						  30.62 					"," 						  3.25 					"," 						  56.3 					","23.0318536667"
"Simon Doull "," 						  29.30 					"," 						  2.84 					"," 						  61.7 					","21.6546533333"
"Graham Dowling "," 						  19.00 					"," 						  3.16 					"," 						  36.0 					","13.4203333333"
"Chris Drum "," 						  30.12 					"," 						  3.58 					"," 						  50.3 					","22.874132"
"Jack Dunning "," 						  98.60 					"," 						  3.56 					"," 						  166.0 					","97.5811333333"
"Ray Emery "," 						  26.00 					"," 						  6.78 					"," 						  23.0 					","23.179"
"Eric Fisher "," 						  78.00 					"," 						  2.29 					"," 						  204.0 					","77.3435"
"James Franklin "," 						  33.97 					"," 						  3.50 					"," 						  58.1 					","26.1693556667"
"Doug Freeman "," 						  169.00 					"," 						  4.22 					"," 						  240.0 					","198.772166667"
"Norman Gallichan "," 						  37.66 					"," 						  2.56 					"," 						  88.0 					","29.1990533333"
"Stu Gillespie "," 						  79.00 					"," 						  2.92 					"," 						  162.0 					","74.6023333333"
"Evan Gray "," 						  52.11 					"," 						  2.56 					"," 						  122.1 					","43.956522"
"Mark Gillespie "," 						  28.68 					"," 						  4.36 					"," 						  39.4 					","22.460264"
"Dayle Hadlee "," 						  33.64 					"," 						  2.93 					"," 						  68.7 					","25.5097726667"
"Sir Richard Hadlee "," 						  22.29 					"," 						  2.63 					"," 						  50.8 					","15.7148215"
"Chris Harris "," 						  73.12 					"," 						  2.74 					"," 						  160.0 					","67.9894133333"
"Matthew Hart "," 						  49.58 					"," 						  2.79 					"," 						  106.4 					","40.930769"
