Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Ravindra Jadeja "," 						  23.73 					"," 						  2.32 					"," 						  61.2 					","16.794512"
"Ishant Sharma "," 						  35.94 					"," 						  3.23 					"," 						  66.6 					","27.731903"
"Murali Vijay "," 						  167.00 					"," 						  3.03 					"," 						  330.0 					","214.88725"
"Syed Abid Ali "," 						  42.12 					"," 						  2.85 					"," 						  88.5 					","33.41169"
"Hemu Adhikari "," 						  27.33 					"," 						  2.89 					"," 						  56.6 					","19.9996385"
"Ajit Agarkar "," 						  47.32 					"," 						  3.39 					"," 						  83.7 					","38.572898"
"Lala Amarnath "," 						  32.91 					"," 						  2.09 					"," 						  94.2 					","25.0220215"
"Mohinder Amarnath "," 						  55.68 					"," 						  2.90 					"," 						  114.8 					","47.259328"
"Surinder Amarnath "," 						  5.00 					"," 						  2.72 					"," 						  11.0 					","3.15333333333"
"Amar Singh "," 						  30.64 					"," 						  2.35 					"," 						  77.9 					","22.7619453333"
"Salil Ankola "," 						  64.00 					"," 						  4.26 					"," 						  90.0 					","56.224"
"Arshad Ayub "," 						  35.07 					"," 						  2.35 					"," 						  89.3 					","26.8525145"
"Bharat Arun "," 						  29.00 					"," 						  2.76 					"," 						  63.0 					","21.373"
"Kirti Azad "," 						  124.33 					"," 						  2.98 					"," 						  250.0 					","139.726198333"
"Ravichandran Ashwin "," 						  25.56 					"," 						  2.88 					"," 						  53.1 					","18.510552"
"Sairaj Bahutule "," 						  67.66 					"," 						  3.32 					"," 						  122.0 					","60.0595266667"
"Lakshmipathy Balaji "," 						  37.18 					"," 						  3.43 					"," 						  65.0 					","29.0034983333"
"Mantu Banerjee "," 						  36.20 					"," 						  3.54 					"," 						  61.2 					","28.19618"
"Shute Banerjee "," 						  25.40 					"," 						  2.79 					"," 						  54.6 					","18.33753"
"Subroto Banerjee "," 						  15.66 					"," 						  2.61 					"," 						  36.0 					","10.558755"
"Bishan Bedi "," 						  28.71 					"," 						  2.14 					"," 						  80.3 					","21.114291"
"Raghuram Bhat "," 						  37.75 					"," 						  2.06 					"," 						  109.5 					","29.7910416667"
"Roger Binny "," 						  32.63 					"," 						  3.20 					"," 						  61.0 					","24.7552933333"
"Chandu Borde "," 						  46.48 					"," 						  2.54 					"," 						  109.5 					","37.9819066667"
"Stuart Binny "," 						  86.00 					"," 						  3.44 					"," 						  150.0 					","81.7573333333"
"Sanjay Bangar "," 						  49.00 					"," 						  2.70 					"," 						  108.8 					","40.4299"
"Bhagwath Chandrasekhar "," 						  29.74 					"," 						  2.70 					"," 						  65.9 					","21.986782"
"Chetan Chauhan "," 						  53.00 					"," 						  3.65 					"," 						  87.0 					","44.3565833333"
"Rajesh Chauhan "," 						  39.51 					"," 						  2.34 					"," 						  101.0 					","31.153635"
"Nirode Chowdhury "," 						  205.00 					"," 						  2.38 					"," 						  516.0 					","332.270833333"
"Nari Contractor "," 						  80.00 					"," 						  2.58 					"," 						  186.0 					","77.8"
"Bal Dani "," 						  19.00 					"," 						  1.90 					"," 						  60.0 					","12.9358333333"
"Ramakant Desai "," 						  37.31 					"," 						  2.95 					"," 						  75.6 					","28.8512011667"
"Ramesh Divecha "," 						  32.81 					"," 						  2.07 					"," 						  94.9 					","24.9536455"
"Dilip Doshi "," 						  30.71 					"," 						  2.25 					"," 						  81.7 					","22.8682015"
"Rahul Dravid "," 						  39.00 					"," 						  1.95 					"," 						  120.0 					","31.34625"
"Salim Durani "," 						  35.42 					"," 						  2.47 					"," 						  85.9 					","27.1275876667"
"Anshuman Gaekwad "," 						  93.50 					"," 						  3.35 					"," 						  167.0 					","91.5754583333"
"Dodda Ganesh "," 						  57.40 					"," 						  3.73 					"," 						  92.2 					","48.9038433333"
"Sourav Ganguly "," 						  52.53 					"," 						  3.23 					"," 						  97.4 					","43.7688715"
"Sunil Gavaskar "," 						  206.00 					"," 						  3.25 					"," 						  380.0 					","288.314166667"
"Karsan Ghavri "," 						  33.54 					"," 						  3.11 					"," 						  64.5 					","25.504375"
