Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Mohammad Talha "," 						  56.00 					"," 						  4.08 					"," 						  82.2 					","47.7344"
"Junaid Khan "," 						  31.73 					"," 						  2.93 					"," 						  64.8 					","23.8138938333"
"Umar Amin "," 						  21.00 					"," 						  2.86 					"," 						  44.0 					","14.8015"
"Mohammad Amir "," 						  32.87 					"," 						  2.91 					"," 						  67.5 					","24.8086325"
"Imran Khan "," 						  30.14 					"," 						  3.39 					"," 						  53.2 					","22.730081"
"Asad Shafiq "," 						  63.00 					"," 						  3.34 					"," 						  113.0 					","54.8625"
"Sohail Khan "," 						  41.66 					"," 						  3.69 					"," 						  67.7 					","33.355079"
"Haris Sohail "," 						  18.60 					"," 						  2.81 					"," 						  39.6 					","12.89197"
"Rahat Ali "," 						  37.43 					"," 						  3.21 					"," 						  69.7 					","29.0700095"
"Bilawal Bhatti "," 						  48.50 					"," 						  3.98 					"," 						  73.0 					","40.1660833333"
"Mohammad Nawaz "," 						  29.40 					"," 						  2.30 					"," 						  76.6 					","21.67858"
"Aamer Malik "," 						  89.00 					"," 						  3.42 					"," 						  156.0 					","85.5735"
"Aamer Nazir "," 						  29.85 					"," 						  3.38 					"," 						  52.8 					","22.470085"
"Mohammad Abbas "," 						  21.34 					"," 						  2.43 					"," 						  52.6 					","14.872913"
"Aamer Sohail "," 						  41.96 					"," 						  2.64 					"," 						  95.3 					","33.341416"
"Aaqib Javed "," 						  34.70 					"," 						  2.86 					"," 						  72.5 					","26.4356166667"
"Abdul Qadir "," 						  32.80 					"," 						  2.71 					"," 						  72.5 					","24.7011333333"
"Afaq Hussain "," 						  106.00 					"," 						  2.65 					"," 						  240.0 					","114.965833333"
"Akram Raza "," 						  56.30 					"," 						  2.87 					"," 						  117.3 					","47.9685383333"
"Alimuddin "," 						  75.00 					"," 						  5.35 					"," 						  84.0 					","69.75625"
"Ali Hussain Rizvi "," 						  36.00 					"," 						  3.89 					"," 						  55.5 					","28.365"
"Amir Elahi "," 						  35.42 					"," 						  3.72 					"," 						  57.1 					","27.670104"
"Anwar Hussain "," 						  29.00 					"," 						  4.83 					"," 						  36.0 					","23.30875"
"Arif Butt "," 						  20.57 					"," 						  2.59 					"," 						  47.5 					","14.3184341667"
"Arshad Khan "," 						  30.00 					"," 						  2.26 					"," 						  79.3 					","22.213"
"Ashfaq Ahmed "," 						  26.50 					"," 						  2.30 					"," 						  69.0 					","19.1374166667"
"Asif Iqbal "," 						  28.33 					"," 						  2.33 					"," 						  72.9 					","20.7295331667"
"Asif Masood "," 						  41.26 					"," 						  3.09 					"," 						  79.9 					","32.597463"
"Asif Mujtaba "," 						  75.75 					"," 						  2.72 					"," 						  166.5 					","71.33125"
