Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Milinda Siriwardana "," 						  23.36 					"," 						  3.73 					"," 						  37.5 					","17.3467466667"
"Dimuth Karunaratne "," 						  97.00 					"," 						  4.04 					"," 						  144.0 					","94.4456666667"
"Thisara Perera "," 						  59.36 					"," 						  4.10 					"," 						  86.7 					","51.2019573333"
"Shaminda Eranga "," 						  37.50 					"," 						  3.29 					"," 						  68.2 					","29.186875"
"Ajantha Mendis "," 						  34.77 					"," 						  3.08 					"," 						  67.5 					","26.58746"
"Lahiru Gamage "," 						  46.30 					"," 						  3.20 					"," 						  86.6 					","37.4968266667"
"Nuwan Pradeep "," 						  42.90 					"," 						  3.54 					"," 						  72.5 					","34.38435"
"Kithuruwan Vithanage "," 						  133.00 					"," 						  4.58 					"," 						  174.0 					","141.667166667"
"Danushka Gunathilaka "," 						  57.00 					"," 						  4.75 					"," 						  72.0 					","49.65175"
"Asela Gunaratne "," 						  38.00 					"," 						  4.38 					"," 						  52.0 					","30.761"
"Lakshan Sandakan "," 						  38.78 					"," 						  3.65 					"," 						  63.6 					","30.6407243333"
"Dasun Shanaka "," 						  29.00 					"," 						  3.56 					"," 						  48.7 					","21.8969333333"
"Vishwa Fernando "," 						  34.33 					"," 						  3.67 					"," 						  56.0 					","26.6429408333"
"Dhananjaya de Silva "," 						  65.71 					"," 						  3.73 					"," 						  105.4 					","57.7185688333"
"Tharindu Kaushal "," 						  44.20 					"," 						  3.99 					"," 						  66.3 					","36.03847"
"Saliya Ahangama "," 						  19.33 					"," 						  2.60 					"," 						  44.5 					","13.3505866667"
"Kaushik Amalean "," 						  22.28 					"," 						  3.83 					"," 						  34.8 					","16.5544113333"
"Jayantha Amerasinghe "," 						  50.00 					"," 						  3.00 					"," 						  100.0 					","41.25"
"Don Anurasiri "," 						  37.75 					"," 						  2.33 					"," 						  96.9 					","29.4343041667"
"Russel Arnold "," 						  54.36 					"," 						  2.68 					"," 						  121.2 					","46.137144"
"Marvan Atapattu "," 						  24.00 					"," 						  3.00 					"," 						  48.0 					","17.304"
"Ishara Amerasinghe "," 						  105.00 					"," 						  4.20 					"," 						  150.0 					","104.475"
"Malinga Bandara "," 						  39.56 					"," 						  3.29 					"," 						  72.0 					","31.0908633333"
"Niroshan Bandaratilleke "," 						  30.34 					"," 						  2.43 					"," 						  74.8 					","22.492559"
"Upul Chandana "," 						  41.48 					"," 						  3.43 					"," 						  72.5 					","32.9800566667"
