Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Keegan Meth "," 						  24.50 					"," 						  1.81 					"," 						  81.0 					","17.5807916667"
"Brian Vitori "," 						  38.66 					"," 						  3.34 					"," 						  69.4 					","30.2952646667"
"Tendai Chisoro "," 						  37.66 					"," 						  2.73 					"," 						  82.6 					","29.165787"
"Tafadzwa Kamungozi "," 						  58.00 					"," 						  2.23 					"," 						  156.0 					","51.7408333333"
"Solomon Mire "," 						  32.00 					"," 						  2.28 					"," 						  84.0 					","24.032"
"Sikandar Raza "," 						  58.69 					"," 						  3.37 					"," 						  104.2 					","50.1789718333"
"Kyle Jarvis "," 						  30.97 					"," 						  3.51 					"," 						  52.9 					","23.5542335"
"Njabulo Ncube "," 						  121.00 					"," 						  3.45 					"," 						  210.0 					","129.62125"
"Shingi Masakadza "," 						  32.18 					"," 						  2.92 					"," 						  66.0 					","24.2100866667"
"Natsai M'shangwe "," 						  62.14 					"," 						  3.30 					"," 						  112.8 					","53.943734"
"Donald Tiripano "," 						  51.00 					"," 						  2.96 					"," 						  103.2 					","42.2824"
"Tendai Chatara "," 						  29.25 					"," 						  2.42 					"," 						  72.3 					","21.521175"
"Andy Blignaut "," 						  37.05 					"," 						  3.71 					"," 						  59.8 					","29.1219175"
"David Brain "," 						  30.50 					"," 						  3.03 					"," 						  60.3 					","22.794175"
"Eddo Brandes "," 						  36.57 					"," 						  2.85 					"," 						  76.7 					","28.1461005"
"Gary Brent "," 						  44.85 					"," 						  2.30 					"," 						  116.8 					","36.676835"
"Mark Burmester "," 						  75.66 					"," 						  3.12 					"," 						  145.3 					","69.803916"
"Gary Crocker "," 						  72.33 					"," 						  2.85 					"," 						  152.0 					","66.5616825"
"Elton Chigumbura "," 						  46.00 					"," 						  3.20 					"," 						  86.0 					","37.1986666667"
"Graeme Cremer "," 						  45.68 					"," 						  3.70 					"," 						  73.9 					","37.1667706667"
"Michael Chinouya "," 						  62.66 					"," 						  3.29 					"," 						  114.0 					","54.5089783333"
"Chamu Chibhabha "," 						  162.00 					"," 						  3.95 					"," 						  246.0 					","189.9315"
"Keith Dabengwa "," 						  49.80 					"," 						  3.41 					"," 						  87.6 					","41.04101"
"Sean Ervine "," 						  43.11 					"," 						  4.08 					"," 						  63.3 					","35.117406"
"Gavin Ewing "," 						  130.00 					"," 						  3.66 					"," 						  213.0 					","141.635"
"Grant Flower "," 						  61.48 					"," 						  2.73 					"," 						  135.1 					","54.068586"
"Travis Friend "," 						  43.60 					"," 						  3.27 					"," 						  80.0 					","34.9127"
"Trevor Gripper "," 						  84.83 					"," 						  3.85 					"," 						  132.1 					","79.6369901667"
"Adam Huckle "," 						  34.88 					"," 						  3.33 					"," 						  62.7 					","26.845392"
"Douglas Hondo "," 						  36.85 					"," 						  3.12 					"," 						  70.7 					","28.49979"
"Malcolm Jarvis "," 						  35.72 					"," 						  1.85 					"," 						  115.7 					","28.1943913333"
"Neil Johnson "," 						  39.60 					"," 						  3.00 					"," 						  79.0 					","31.0068"
"Charlie Lock "," 						  21.00 					"," 						  3.50 					"," 						  36.0 					","15.2495"
"Greg Lamb "," 						  47.00 					"," 						  4.40 					"," 						  64.0 					","39.2293333333"
"Dougie Marillier "," 						  29.27 					"," 						  3.13 					"," 						  56.0 					","21.7939541667"
"Everton Matambanadzo "," 						  62.50 					"," 						  3.90 					"," 						  96.0 					","54.34375"
"Pommie Mbangwa "," 						  31.43 					"," 						  2.32 					"," 						  81.1 					","23.4949726667"
"Hamilton Masakadza "," 						  30.12 					"," 						  2.51 					"," 						  72.0 					","22.30135"
"Brian Murphy "," 						  61.83 					"," 						  3.10 					"," 						  119.6 					","53.794161"
"Stuart Matsikenyeri "," 						  172.50 					"," 						  4.28 					"," 						  241.5 					","204.01"
"Blessing Mahwire "," 						  50.83 					"," 						  4.26 					"," 						  71.5 					","42.773445"
"Chris Mpofu "," 						  48.00 					"," 						  3.35 					"," 						  85.8 					","39.2168"
"Waddington Mwayenga "," 						  79.00 					"," 						  3.76 					"," 						  126.0 					","72.7853333333"
"Mluleki Nkala "," 						  66.09 					"," 						  3.00 					"," 						  132.0 					","58.75401"
"John Nyumbu "," 						  75.80 					"," 						  3.42 					"," 						  132.6 					","69.33426"
"Henry Olonga "," 						  38.52 					"," 						  3.49 					"," 						  66.2 					","30.276078"
"Ali Shah "," 						  125.00 					"," 						  4.03 					"," 						  186.0 					","132.135416667"
"Stephen Peall "," 						  75.75 					"," 						  2.04 					"," 						  222.0 					","76.73475"
"Ray Price "," 						  36.06 					"," 						  2.82 					"," 						  76.6 					","27.683262"
"Tinashe Panyangara "," 						  26.22 					"," 						  2.58 					"," 						  60.9 					","18.938706"
"Ujesh Ranchod "," 						  45.00 					"," 						  3.75 					"," 						  72.0 					","36.57375"
"Gavin Rennie "," 						  84.00 					"," 						  4.00 					"," 						  126.0 					","78.568"
"John Rennie "," 						  97.66 					"," 						  2.42 					"," 						  241.3 					","104.864052667"
"Bryan Strang "," 						  39.33 					"," 						  2.43 					"," 						  97.0 					","30.9035475"
"Paul Strang "," 						  36.02 					"," 						  2.64 					"," 						  81.7 					","27.641748"
"Heath Streak "," 						  28.14 					"," 						  2.69 					"," 						  62.7 					","20.607391"
"John Traicos "," 						  42.72 					"," 						  2.86 					"," 						  89.5 					","33.998"
"Tatenda Taibu "," 						  27.00 					"," 						  3.37 					"," 						  48.0 					","20.04975"
"Prosper Utseya "," 						  41.00 					"," 						  3.26 					"," 						  75.3 					","32.4214333333"
"Dirk Viljoen "," 						  65.00 					"," 						  3.71 					"," 						  105.0 					","56.9670833333"
"Brighton Watambwa "," 						  35.00 					"," 						  3.15 					"," 						  66.5 					","26.83625"
"Andy Whittall "," 						  105.14 					"," 						  2.82 					"," 						  223.1 					","111.521998"
"Guy Whittall "," 						  40.94 					"," 						  2.67 					"," 						  91.8 					","32.315989"
"Sean Williams "," 						  40.33 					"," 						  3.19 					"," 						  75.6 					","31.7511368333"
"Malcolm Waller "," 						  27.25 					"," 						  2.86 					"," 						  57.0 					","19.9152083333"
"Carl Mumba "," 						  37.25 					"," 						  3.82 					"," 						  58.3 					","29.4063916667"
